serial_number,time_stamp,1 year,2 year,3 year,4 year,5 year,6 year,7 year,8 year,9 year,10 year,15 year,20 year,25 year,30 year
1,2006-10-17,0.555,0.746,0.935,1.107,1.276,1.399,1.512,1.623,1.711,1.793,2.084,2.263,2.446,2.518
2,2006-10-16,0.553,0.746,0.938,1.117,1.284,1.407,1.523,1.63,1.71,1.792,2.076,2.25,2.439,2.511
3,2006-10-13,0.513,0.703,0.884,1.063,1.235,1.36,1.479,1.592,1.677,1.763,2.052,2.238,2.434,2.508
4,2006-10-12,0.489,0.688,0.862,1.037,1.205,1.326,1.446,1.563,1.655,1.746,2.038,2.233,2.434,2.508
5,2006-10-11,0.486,0.692,0.868,1.043,1.208,1.326,1.444,1.558,1.649,1.739,2.028,2.224,2.429,2.504
6,2006-10-10,0.462,0.671,0.847,1.014,1.174,1.292,1.411,1.526,1.627,1.72,2.019,2.221,2.429,2.504
7,2006-10-06,0.44,0.658,0.831,0.999,1.158,1.277,1.394,1.511,1.612,1.701,2.009,2.215,2.421,2.495
8,2006-10-05,0.433,0.643,0.831,1.004,1.173,1.293,1.413,1.533,1.631,1.719,2.019,2.22,2.426,2.497
9,2006-10-04,0.429,0.638,0.813,0.984,1.151,1.277,1.401,1.518,1.622,1.715,2.017,2.219,2.425,2.496
10,2006-10-03,0.425,0.64,0.816,0.988,1.153,1.275,1.397,1.505,1.606,1.69,1.991,2.194,2.399,2.471
11,2006-10-02,0.442,0.673,0.85,1.026,1.19,1.313,1.435,1.542,1.642,1.727,2.016,2.21,2.412,2.488
12,2006-09-29,0.408,0.635,0.804,0.976,1.133,1.256,1.372,1.484,1.586,1.671,1.968,2.172,2.37,2.445
13,2006-09-28,0.404,0.634,0.789,0.955,1.112,1.235,1.348,1.465,1.568,1.652,1.954,2.163,2.35,2.426
14,2006-09-27,0.401,0.622,0.776,0.944,1.101,1.23,1.348,1.465,1.568,1.651,1.959,2.167,2.358,2.435
15,2006-09-26,0.386,0.587,0.732,0.9,1.06,1.191,1.311,1.43,1.531,1.615,1.926,2.141,2.333,2.41
16,2006-09-25,0.395,0.607,0.755,0.93,1.093,1.224,1.342,1.459,1.554,1.632,1.929,2.14,2.324,2.399
17,2006-09-22,0.387,0.617,0.757,0.934,1.094,1.224,1.339,1.458,1.551,1.628,1.915,2.128,2.309,2.381
18,2006-09-21,0.404,0.653,0.801,0.983,1.149,1.281,1.394,1.515,1.609,1.691,1.975,2.192,2.366,2.439
19,2006-09-20,0.401,0.641,0.793,0.972,1.136,1.267,1.381,1.5,1.593,1.675,1.958,2.165,2.34,2.411
20,2006-09-19,0.418,0.666,0.826,1.009,1.174,1.304,1.417,1.534,1.622,1.695,1.974,2.173,2.345,2.416
21,2006-09-15,0.41,0.64,0.793,0.971,1.135,1.264,1.379,1.494,1.583,1.658,1.938,2.14,2.311,2.382
22,2006-09-14,0.41,0.633,0.802,0.984,1.147,1.274,1.388,1.503,1.596,1.67,1.945,2.143,2.315,2.388
23,2006-09-13,0.408,0.622,0.795,0.978,1.141,1.267,1.377,1.497,1.592,1.665,1.94,2.139,2.31,2.385
24,2006-09-12,0.416,0.642,0.818,1,1.167,1.286,1.398,1.515,1.609,1.685,1.956,2.154,2.323,2.396
25,2006-09-11,0.414,0.622,0.794,0.982,1.14,1.268,1.381,1.497,1.587,1.663,1.93,2.132,2.299,2.377
26,2006-09-08,0.465,0.689,0.862,1.047,1.209,1.337,1.452,1.559,1.643,1.716,1.967,2.156,2.323,2.401
27,2006-09-07,0.463,0.669,0.835,1.016,1.174,1.303,1.419,1.529,1.619,1.694,1.948,2.139,2.31,2.389
28,2006-09-06,0.466,0.678,0.845,1.028,1.179,1.304,1.417,1.525,1.619,1.696,1.945,2.132,2.307,2.387
29,2006-09-05,0.464,0.683,0.854,1.037,1.187,1.314,1.425,1.534,1.634,1.715,1.963,2.152,2.327,2.406
30,2006-09-04,0.456,0.662,0.826,1.011,1.165,1.296,1.414,1.525,1.624,1.693,1.963,2.16,2.339,2.417
31,2006-09-01,0.436,0.628,0.788,0.971,1.122,1.263,1.384,1.496,1.595,1.663,1.939,2.142,2.328,2.407
32,2006-08-31,0.426,0.625,0.782,0.956,1.108,1.251,1.374,1.485,1.584,1.644,1.928,2.132,2.325,2.402
33,2006-08-30,0.435,0.659,0.824,0.999,1.153,1.296,1.412,1.523,1.62,1.677,1.948,2.145,2.325,2.392
34,2006-08-29,0.442,0.676,0.847,1.033,1.192,1.33,1.445,1.559,1.661,1.717,1.972,2.153,2.335,2.398
35,2006-08-28,0.425,0.641,0.816,0.997,1.16,1.305,1.426,1.54,1.641,1.695,1.953,2.136,2.318,2.382
36,2006-08-25,0.431,0.656,0.84,1.032,1.198,1.34,1.458,1.568,1.667,1.717,1.963,2.134,2.313,2.377
37,2006-08-24,0.53,0.768,0.958,1.153,1.319,1.455,1.568,1.672,1.758,1.805,2.043,2.205,2.379,2.434
38,2006-08-23,0.528,0.758,0.951,1.151,1.323,1.459,1.572,1.677,1.762,1.807,2.049,2.214,2.388,2.441
39,2006-08-22,0.526,0.752,0.946,1.142,1.312,1.45,1.563,1.672,1.762,1.808,2.052,2.221,2.39,2.443
40,2006-08-21,0.544,0.772,0.969,1.165,1.335,1.467,1.58,1.686,1.776,1.82,2.063,2.232,2.396,2.447
41,2006-08-18,0.558,0.796,1.002,1.203,1.379,1.514,1.629,1.737,1.816,1.857,2.097,2.262,2.425,2.474
42,2006-08-17,0.555,0.786,0.986,1.181,1.355,1.486,1.598,1.708,1.787,1.829,2.07,2.232,2.398,2.446
43,2006-08-16,0.563,0.79,0.999,1.194,1.369,1.5,1.612,1.721,1.799,1.839,2.077,2.236,2.404,2.451
44,2006-08-15,0.573,0.805,1.02,1.221,1.399,1.532,1.645,1.75,1.826,1.866,2.1,2.258,2.424,2.473
45,2006-08-14,0.571,0.806,1.025,1.229,1.408,1.542,1.657,1.768,1.845,1.891,2.127,2.283,2.447,2.495
46,2006-08-11,0.562,0.789,0.998,1.197,1.374,1.502,1.615,1.729,1.807,1.851,2.091,2.249,2.419,2.465
47,2006-08-10,0.573,0.817,1.042,1.244,1.43,1.558,1.679,1.789,1.862,1.904,2.141,2.286,2.455,2.5
48,2006-08-09,0.561,0.796,1.001,1.195,1.382,1.507,1.625,1.731,1.806,1.846,2.086,2.227,2.398,2.443
49,2006-08-08,0.559,0.796,0.995,1.185,1.371,1.493,1.611,1.718,1.8,1.843,2.086,2.225,2.403,2.448
50,2006-08-07,0.557,0.781,0.979,1.17,1.342,1.478,1.597,1.709,1.795,1.844,2.085,2.224,2.406,2.451
51,2006-08-04,0.571,0.804,1.01,1.209,1.384,1.522,1.647,1.755,1.833,1.882,2.125,2.266,2.447,2.492
52,2006-08-03,0.569,0.802,1.005,1.197,1.375,1.513,1.637,1.745,1.825,1.877,2.125,2.266,2.451,2.495
53,2006-08-02,0.578,0.813,1.019,1.212,1.39,1.527,1.649,1.756,1.844,1.895,2.147,2.289,2.475,2.52
54,2006-08-01,0.576,0.825,1.034,1.238,1.416,1.56,1.684,1.791,1.879,1.93,2.186,2.33,2.517,2.56
55,2006-07-31,0.574,0.817,1.026,1.231,1.412,1.553,1.682,1.791,1.879,1.932,2.191,2.336,2.523,2.565
56,2006-07-28,0.57,0.807,1.018,1.226,1.405,1.552,1.685,1.793,1.883,1.932,2.19,2.333,2.519,2.56
57,2006-07-27,0.567,0.793,1,1.199,1.37,1.51,1.641,1.747,1.838,1.886,2.146,2.29,2.481,2.521
58,2006-07-26,0.575,0.803,1,1.198,1.368,1.51,1.639,1.742,1.828,1.873,2.133,2.277,2.471,2.514
59,2006-07-25,0.582,0.814,1.01,1.208,1.381,1.524,1.651,1.755,1.842,1.884,2.146,2.288,2.492,2.535
60,2006-07-24,0.58,0.787,0.985,1.186,1.361,1.508,1.641,1.742,1.828,1.865,2.138,2.282,2.485,2.527
61,2006-07-21,0.574,0.75,0.953,1.154,1.328,1.475,1.606,1.706,1.793,1.829,2.112,2.255,2.458,2.498
62,2006-07-20,0.572,0.744,0.953,1.159,1.334,1.479,1.607,1.708,1.789,1.823,2.106,2.24,2.449,2.487
63,2006-07-19,0.58,0.754,0.966,1.177,1.353,1.503,1.63,1.733,1.817,1.855,2.132,2.263,2.468,2.508
64,2006-07-18,0.578,0.744,0.937,1.147,1.323,1.473,1.601,1.709,1.799,1.837,2.118,2.25,2.452,2.491
65,2006-07-14,0.598,0.78,0.975,1.18,1.353,1.502,1.624,1.727,1.815,1.851,2.121,2.251,2.448,2.487
66,2006-07-13,0.633,0.835,1.041,1.248,1.428,1.576,1.699,1.799,1.882,1.917,2.174,2.297,2.485,2.525
67,2006-07-12,0.641,0.844,1.047,1.262,1.443,1.594,1.714,1.821,1.904,1.939,2.192,2.315,2.515,2.562
68,2006-07-11,0.659,0.879,1.092,1.304,1.487,1.636,1.758,1.862,1.938,1.968,2.205,2.322,2.523,2.572
69,2006-07-10,0.662,0.898,1.112,1.327,1.502,1.657,1.776,1.878,1.947,1.975,2.206,2.32,2.52,2.571
70,2006-07-07,0.657,0.894,1.106,1.316,1.494,1.645,1.761,1.864,1.929,1.958,2.195,2.315,2.517,2.568
71,2006-07-06,0.649,0.893,1.119,1.336,1.517,1.669,1.786,1.887,1.95,1.98,2.212,2.336,2.536,2.588
72,2006-07-05,0.632,0.886,1.106,1.325,1.508,1.658,1.776,1.879,1.943,1.98,2.217,2.344,2.542,2.593
73,2006-07-04,0.615,0.859,1.078,1.295,1.478,1.626,1.749,1.856,1.924,1.971,2.212,2.346,2.533,2.585
74,2006-07-03,0.612,0.861,1.078,1.289,1.475,1.626,1.758,1.858,1.923,1.962,2.193,2.322,2.503,2.553
75,2006-06-30,0.582,0.825,1.035,1.23,1.411,1.559,1.692,1.798,1.868,1.914,2.155,2.291,2.47,2.52
76,2006-06-29,0.57,0.829,1.037,1.232,1.414,1.563,1.696,1.803,1.87,1.915,2.152,2.288,2.467,2.516
77,2006-06-28,0.56,0.817,1.023,1.215,1.393,1.542,1.677,1.783,1.856,1.906,2.142,2.284,2.464,2.513
78,2006-06-27,0.558,0.821,1.026,1.215,1.388,1.533,1.672,1.779,1.851,1.901,2.134,2.279,2.463,2.512
79,2006-06-26,0.555,0.813,1.019,1.209,1.377,1.522,1.662,1.771,1.842,1.892,2.125,2.271,2.455,2.504
80,2006-06-23,0.538,0.797,0.997,1.188,1.358,1.497,1.633,1.746,1.819,1.873,2.111,2.261,2.446,2.493
81,2006-06-22,0.556,0.812,1.003,1.187,1.353,1.486,1.615,1.726,1.801,1.855,2.093,2.249,2.434,2.481
82,2006-06-21,0.554,0.822,1.006,1.191,1.353,1.479,1.601,1.709,1.791,1.845,2.085,2.24,2.43,2.477
83,2006-06-20,0.542,0.806,0.988,1.177,1.342,1.472,1.6,1.712,1.799,1.855,2.098,2.261,2.451,2.499
84,2006-06-19,0.51,0.76,0.941,1.128,1.298,1.43,1.563,1.674,1.762,1.822,2.07,2.24,2.433,2.483
85,2006-06-16,0.502,0.754,0.929,1.118,1.285,1.418,1.558,1.666,1.754,1.812,2.066,2.24,2.433,2.484
86,2006-06-15,0.48,0.723,0.888,1.073,1.239,1.367,1.505,1.615,1.716,1.779,2.043,2.223,2.416,2.469
87,2006-06-14,0.459,0.708,0.874,1.072,1.243,1.37,1.508,1.62,1.719,1.778,2.029,2.199,2.383,2.433
88,2006-06-13,0.467,0.728,0.897,1.095,1.267,1.387,1.52,1.63,1.726,1.783,2.014,2.17,2.354,2.398
89,2006-06-12,0.476,0.737,0.923,1.13,1.306,1.43,1.565,1.679,1.772,1.829,2.061,2.216,2.397,2.442
90,2006-06-09,0.459,0.73,0.915,1.125,1.3,1.427,1.565,1.681,1.779,1.837,2.069,2.228,2.407,2.451
91,2006-06-08,0.468,0.744,0.941,1.155,1.333,1.459,1.596,1.709,1.798,1.847,2.076,2.225,2.4,2.439
92,2006-06-07,0.552,0.812,1.014,1.221,1.381,1.512,1.639,1.742,1.825,1.87,2.086,2.223,2.39,2.43
93,2006-06-06,0.565,0.837,1.056,1.269,1.434,1.569,1.7,1.799,1.875,1.917,2.125,2.264,2.423,2.464
94,2006-06-05,0.538,0.81,1.017,1.215,1.371,1.501,1.629,1.733,1.816,1.861,2.073,2.209,2.376,2.415
95,2006-06-02,0.571,0.848,1.061,1.262,1.416,1.549,1.678,1.784,1.862,1.902,2.109,2.234,2.404,2.44
96,2006-06-01,0.579,0.862,1.076,1.278,1.436,1.576,1.708,1.816,1.897,1.938,2.143,2.263,2.437,2.47
97,2006-05-31,0.557,0.813,1.012,1.201,1.345,1.48,1.606,1.709,1.792,1.831,2.049,2.169,2.347,2.381
98,2006-05-30,0.537,0.822,1.024,1.215,1.372,1.509,1.637,1.738,1.82,1.853,2.065,2.177,2.354,2.391
99,2006-05-29,0.545,0.847,1.048,1.235,1.387,1.519,1.64,1.75,1.838,1.878,2.084,2.199,2.374,2.414
100,2006-05-26,0.527,0.845,1.045,1.233,1.385,1.518,1.632,1.745,1.832,1.867,2.07,2.176,2.351,2.389
101,2006-05-25,0.482,0.799,1.014,1.218,1.377,1.52,1.641,1.745,1.832,1.869,2.076,2.187,2.351,2.388
102,2006-05-24,0.438,0.737,0.962,1.169,1.335,1.481,1.612,1.716,1.804,1.84,2.059,2.177,2.336,2.373
103,2006-05-23,0.416,0.701,0.932,1.14,1.309,1.453,1.584,1.688,1.777,1.81,2.033,2.156,2.311,2.349
104,2006-05-22,0.435,0.741,0.981,1.186,1.359,1.5,1.628,1.729,1.818,1.848,2.06,2.174,2.326,2.37
105,2006-05-19,0.429,0.759,1.014,1.236,1.414,1.572,1.704,1.81,1.892,1.918,2.124,2.237,2.383,2.426
106,2006-05-18,0.437,0.773,1.037,1.266,1.451,1.607,1.741,1.847,1.924,1.95,2.152,2.263,2.396,2.44
107,2006-05-17,0.425,0.767,1.023,1.248,1.43,1.578,1.711,1.819,1.897,1.922,2.136,2.246,2.371,2.421
108,2006-05-16,0.422,0.792,1.057,1.287,1.474,1.622,1.757,1.865,1.942,1.963,2.171,2.28,2.403,2.454
109,2006-05-15,0.411,0.801,1.082,1.318,1.499,1.659,1.794,1.903,1.972,1.996,2.197,2.306,2.427,2.478
110,2006-05-12,0.405,0.794,1.085,1.322,1.504,1.662,1.798,1.899,1.967,1.988,2.183,2.29,2.41,2.461
111,2006-05-11,0.403,0.793,1.084,1.321,1.501,1.657,1.788,1.888,1.951,1.966,2.149,2.255,2.378,2.43
112,2006-05-10,0.401,0.791,1.079,1.319,1.504,1.664,1.804,1.905,1.969,1.995,2.171,2.281,2.414,2.469
113,2006-05-09,0.332,0.705,0.994,1.237,1.432,1.594,1.739,1.847,1.926,1.958,2.144,2.264,2.405,2.463
114,2006-05-08,0.3,0.667,0.948,1.195,1.397,1.571,1.723,1.837,1.927,1.961,2.152,2.274,2.422,2.481
115,2006-05-02,0.29,0.641,0.917,1.156,1.354,1.528,1.676,1.789,1.88,1.912,2.11,2.238,2.397,2.457
116,2006-05-01,0.288,0.627,0.895,1.128,1.326,1.493,1.636,1.752,1.843,1.872,2.076,2.209,2.371,2.429
117,2006-04-28,0.304,0.649,0.936,1.174,1.375,1.546,1.691,1.806,1.889,1.913,2.11,2.237,2.391,2.452
118,2006-04-27,0.314,0.675,0.97,1.219,1.424,1.602,1.751,1.864,1.934,1.959,2.146,2.269,2.42,2.482
